districtcode,centile,superzip,rank,adultpop,households,college,income,Unemp..Rate,X..in.Unemp.sample
MA1,43.64928,0,9674,509,203,0.151277,65.52907,0.02,582
MA1,65.79311,0,5169,1690,607,0.3,67.72322,0.01,1850
MA1,79.23106,0,NA,114,44,0.4210526,72.8987,0.02,236
MA1,74.65579,0,NA,383,170,0.3107049,81.725,0.04,418
MA1,82.982,0,2514,642,180,0.4517134,77.68713,0.07,887
MA1,89.19674,0,NA,181,66,0.5580111,80.0905,0.03,133
MA1,86.41401,0,2003,1231,470,0.4849716,82.54225,0.05,1451
MA1,89.16778,0,1623,5101,1849,0.5226426,86.13292,0.08,6864
MA1,53.75195,0,7412,12897,4496,0.242537,60.94854,0.09,14817
MA2,53.75195,0,7412,12897,4496,0.242537,60.94854,0.09,14817
MA1,80.63384,0,2872,1119,435,0.4441466,72.58618,0.07,1298
MA2,28.87005,0,13662,8557,3449,0.1363796,55.28794,0.11,10653
MA1,55.57615,0,7018,1851,736,0.2079957,69.27795,0.08,2158
MA1,49.95694,0,NA,18,4,0.3888889,31.0555,0.03,181
MA1,59.20569,0,6332,1386,554,0.2640693,64.23193,0.08,1230
MA1,55.4821,0,7051,1253,499,0.2458101,62.5922,0.06,1408
MA1,85.54727,0,2134,1215,499,0.473251,81.45302,0.07,1442
MA2,80.0233,0,2961,701,266,0.3380885,89.35223,0.02,989
MA2,36.53618,0,11431,600,259,0.1216667,64.23585,0.11,1137
MA1,67.98652,0,NA,211,82,0.2938389,72.73525,0.08,348
MA2,26.76985,0,14316,1112,402,0.1483813,51.48675,0.03,838
MA1,6.76737,0,NA,42,16,0.1666667,27.7865,0.14,111
MA2,74.22405,0,3855,1686,665,0.3125741,80.57431,0.06,2072
MA2,78.44974,0,3197,637,255,0.4160126,72.09975,0.06,708
MA2,70.26956,0,4451,1992,827,0.3077309,74.2926,0.05,2507
MA2,36.27447,0,11505,5024,1985,0.1584395,57.64424,0.13,6338
MA2,82.48136,0,2593,855,297,0.4561403,75.45898,0.08,1148
MA1,68.83882,0,NA,269,110,0.2973978,73.5525,0.12,386
MA2,49.98059,0,8226,791,313,0.1694058,68.9066,0.11,902
MA2,70.53769,0,4411,3080,1130,0.3383117,69.55255,0.07,3644
MA1,70.53769,0,4411,3080,1130,0.3383117,69.55255,0.07,3644
MA2,79.76491,0,3000,3835,1442,0.3634941,84.3402,0.08,3994
MA2,83.25891,0,2470,2291,795,0.5050197,69.33026,0.03,3219
MA2,36.16401,0,11544,4447,1702,0.16528,56.35364,0.09,4294
MA2,53.91896,0,NA,496,203,0.25,59.88154,0.08,531
MA2,81.50759,0,2747,615,214,0.4162602,79.41708,0.1,914
MA2,34.00417,0,12071,24863,9456,0.1540844,56.60731,0.11,32433
MA3,34.00417,0,12071,24863,9456,0.1540844,56.60731,0.11,32433
MA3,67.83934,0,4843,3606,1549,0.2656683,77.23078,0.07,4631
MA3,71.10177,0,4325,1869,780,0.2552167,84.86324,0.06,2382
MA3,67.60154,0,4879,5671,1797,0.2414036,81.02936,0.12,5788
MA2,36.75133,0,11382,2095,780,0.1054893,67.21587,0.1,2557
MA2,59.80067,0,NA,73,38,0.0821918,96.4355,0.1,379
MA3,38.98957,0,10793,14559,5209,0.1507659,61.47158,0.11,16762
MA2,38.98957,0,10793,14559,5209,0.1507659,61.47158,0.11,16762
MA3,95.32131,1,749,6048,2549,0.5383598,120.3175,0.04,7806
MA3,99.2753,1,122,3313,1457,0.758527,157.0009,0.08,3614
MA2,78.88741,0,3130,2504,1111,0.3382588,86.37744,0.08,3411
MA3,58.82037,0,6410,27883,11042,0.2197038,71.36227,0.1,32708
MA2,58.82037,0,6410,27883,11042,0.2197038,71.36227,0.1,32708
MA3,92.30986,0,1161,5586,2255,0.481382,109.0081,0.04,6733
MA3,75.98411,0,3601,6467,2674,0.3151384,83.66155,0.07,8038
MA3,82.24461,0,2634,6975,3018,0.3283154,96.71925,0.05,9052
MA3,66.31257,0,5086,4516,1418,0.1961913,86.6285,0.05,6013
MA3,98.58216,1,NA,127,40,0.7007874,138.2264,0.09,454
MA2,54.1406,0,7327,2157,927,0.1743162,73.18507,0.09,3230
MA3,76.2477,0,3557,3720,1662,0.2801075,90.3277,0.07,5024
MA3,71.83553,0,4218,4639,1935,0.2851908,80.85545,0.07,5754
MA3,72.45442,0,4130,1981,821,0.2857143,81.93814,0.08,1761
MA2,40.92289,0,10312,6011,2521,0.1374147,65.40877,0.08,8064
MA3,40.92289,0,10312,6011,2521,0.1374147,65.40877,0.08,8064
MA2,67.08811,0,4958,11403,4392,0.2437955,79.73091,0.07,13082
MA3,85.45173,0,2150,1626,659,0.3640836,99.92548,0.06,2316
MA2,58.44682,0,6486,5663,2326,0.163341,80.59131,0.07,7272
MA2,86.50883,0,1988,2863,1143,0.3772267,101.475,0.04,3491
MA1,51.83459,0,7815,2080,868,0.1677885,71.28905,0.05,2714
MA1,75.67114,0,3648,7275,3048,0.2643299,91.80398,0.06,9609
MA3,58.99743,0,6377,9393,3406,0.2302779,69.70554,0.1,10855
MA1,54.10724,0,7335,1428,598,0.162465,75.187,0.08,1640
MA2,71.09961,0,4327,4542,1955,0.2393219,87.5922,0.1,6351
MA1,69.48811,0,4591,1496,633,0.2740642,78.58153,0.04,2198
MA2,91.96971,0,1213,3805,1587,0.4772668,107.9358,0.07,4745
MA2,88.48966,0,1721,8626,3643,0.4522374,95.56203,0.07,10874
MA1,58.42404,0,6492,1602,676,0.1978776,74.56458,0.07,2107
MA2,90.96002,0,1371,1954,820,0.462129,104.3308,0.12,2467
MA3,77.52503,0,3346,4903,1549,0.3094024,87.94917,0.06,6080
MA2,65.17957,0,5275,3997,1596,0.1983988,84.2552,0.09,5528
MA2,61.23249,0,5965,9005,3471,0.1779012,81.80869,0.08,10931
MA2,63.31213,0,5594,1712,733,0.2044393,80.4344,0.07,2356
MA2,63.57499,0,5558,574,267,0.2142857,79.00127,0.05,842
MA2,94.52843,0,857,9221,3936,0.5104653,118.3116,0.06,10682
MA2,72.35823,0,4145,3282,1245,0.23766,90.04134,0.08,3823
MA2,49.95819,0,8233,3100,1241,0.1764516,67.6683,0.06,3657
MA2,77.11745,0,3414,4390,1651,0.3120729,86.59843,0.07,5677
MA2,49.82452,0,8274,1271,484,0.1943352,64.3653,0.13,1924
MA2,58.64043,0,6449,7557,3092,0.1752018,78.76852,0.07,8779
MA2,94.29895,0,891,2218,967,0.5477908,110.2307,0.04,2651
MA2,77.72144,0,3314,1304,484,0.2446319,99.70973,0.03,1415
MA2,78.21204,0,3232,3996,1687,0.295045,92.43294,0.09,5822
MA2,90.41632,0,1450,21894,8755,0.4606285,101.4933,0.06,26716
MA1,25.65847,0,14652,11291,4594,0.124524,54.74006,0.11,13006
MA2,49.42892,0,8370,1858,714,0.1668461,68.649,0.04,2882
MA2,55.37249,0,7068,7798,3107,0.1773532,74.2233,0.1,9589
